SPEC_ID,NAME,RA,DEC,Z,Z_HELIO,Quality
67969,g1334054-300316,203.5224583,-30.05455556,0.047545,0.047455,3
67972,g1333154-293442,203.314375,-29.57838889,0.035069,0.03498,4
67973,g1332192-294443,203.0802083,-29.74527778,0.041485,0.041395,4
67974,g1330221-304352,202.5918333,-30.73108333,0.054748,0.054657,4
67975,g1329372-305757,202.405125,-30.96572222,0.040176,0.040086,4
67976,g1332538-290731,203.22425,-29.12522222,0.034269,0.03418,4
67978,g1334015-290648,203.5065,-29.11341667,0.082275,0.082181,4
67979,g1330217-295643,202.5904583,-29.94538889,0.053714,0.053623,4
67980,g1329071-300510,202.279375,-30.08622222,0.051664,0.051574,4
67981,g1329100-294643,202.2914583,-29.77847222,0.053344,0.053253,4
67982,g1329400-295034,202.4165417,-29.84277778,0.053304,0.053213,4
67983,g1329192-293709,202.3299583,-29.61913889,0.052564,0.052473,4
67984,g1328473-293811,202.1970417,-29.63647222,0.050064,0.049973,4
67985,g1328207-292005,202.0860833,-29.33472222,0.118518,0.118421,4
67986,g1325541-295354,201.4753333,-29.89833333,0.047858,0.047767,4
67987,g1332524-283754,203.2181667,-28.63152778,0.121497,0.121401,4
67988,g1331365-281741,202.90225,-28.29463889,0.037134,0.037045,4
67989,g1333495-285827,203.4560417,-28.97425,0.041385,0.041295,4
67990,g1328439-290516,202.1829583,-29.08788889,0.054703,0.054612,4
67991,g1325090-290720,201.2874583,-29.12233333,0.08359,0.083497,4
67992,g1324486-290246,201.2025833,-29.04608333,0.08471,0.084616,4
67993,g1326183-284835,201.57625,-28.80972222,0.052876,0.052786,4
67994,g1336386-284731,204.1607917,-28.79197222,0.047118,0.047027,4
67995,g1328306-281934,202.1272083,-28.32622222,0.045647,0.045557,4
67996,g1328137-282914,202.056875,-28.48705556,0.034728,0.034639,4
67997,g1336278-282608,204.1157083,-28.4355,0.045774,0.045684,4
67998,g1337327-283620,204.3862917,-28.60569444,0.084141,0.084048,4
67999,g1327118-281824,201.7992083,-28.30666667,0.032365,0.032275,4
68000,g1328284-281116,202.118125,-28.18780556,0.037304,0.037214,4
68001,g1332064-280846,203.02675,-28.14602778,0.032088,0.031999,4
68002,g1326278-280135,201.6159583,-28.02636111,0.038514,0.038424,4
68003,g1326563-275317,201.7345833,-27.88808333,0.039957,0.039867,4
68004,g1338059-275760,204.524375,-27.96658333,0.052064,0.051973,4
68005,g1330370-275551,202.6540833,-27.93077778,0.12363,0.123533,4
68006,g1326445-274446,201.6854583,-27.74586111,0.034957,0.034868,4
68007,g1329284-275732,202.3682083,-27.95877778,0.038024,0.037934,4
68008,g1328318-271807,202.1324167,-27.30208333,0.040363,0.040273,4
68009,g1328222-273354,202.0925,-27.56511111,0.043426,0.043336,4
68010,g1338264-281251,204.61,-28.21411111,0.047188,0.047097,4
68011,g1328290-270656,202.121125,-27.11569444,0.050592,0.050501,4
68012,g1330410-273719,202.6708333,-27.62191667,0.040324,0.040234,4
68013,g1331166-274057,202.81925,-27.68247222,0.037234,0.037144,4
68014,g1333098-273603,203.290875,-27.60080556,0.052143,0.052052,4
68015,g1333375-271915,203.4060417,-27.321,0.038777,0.038688,4
68016,g1333353-272546,203.3969583,-27.42944444,0.034938,0.034848,4
68017,g1337127-285125,204.30275,-28.85702778,0.040519,0.040429,4
68018,g1332420-270216,203.1749583,-27.03761111,0.046163,0.046073,4
68019,g1331322-255954,202.8843333,-25.99827778,0.071503,0.071411,4
68020,g1334244-272921,203.6016667,-27.48908333,0.033948,0.033859,4
68021,g1335466-274026,203.9441667,-27.67388889,0.029189,0.0291,4
68022,g1337257-273457,204.357,-27.58236111,0.038834,0.038745,4
68023,g1338312-275533,204.63,-27.92594444,0.046268,0.046177,4
68024,g1335323-270442,203.8845,-27.07825,0.033618,0.033529,4
68025,g1336453-274049,204.188625,-27.68005556,0.049993,0.049903,4
68026,g1338148-254212,204.5615,-25.70333333,0.11339,0.113294,4
68027,g1334054-280931,203.5226667,-28.15872222,0.030639,0.03055,4
68028,g1338300-264614,204.625125,-26.77041667,0.033474,0.033385,4
68029,g1340002-270306,205.001,-27.05169444,0.052973,0.052882,4
68030,g1341445-260514,205.43525,-26.08722222,0.048277,0.048186,4
68031,g1338260-284641,204.6083333,-28.77802778,0.082222,0.082128,4
68032,g1342047-262623,205.5194583,-26.43952778,0.128016,0.127919,4
68033,g1340415-273338,205.1729167,-27.5605,0.085964,0.08587,4
68034,g1342372-264545,205.6547083,-26.76261111,0.142839,0.14274,4
68035,g1339115-283546,204.7977083,-28.59605556,0.044815,0.044725,4
68036,g1340520-280520,205.2167917,-28.08880556,0.040759,0.040669,4
68037,g1344000-265555,206.0000417,-26.932,0.046524,0.046434,4
68038,g1335196-280119,203.831625,-28.02180556,0.021046,0.020958,4
68039,g1341362-281502,205.4009167,-28.25058333,0.117362,0.117266,4
68040,g1338382-293001,204.6590417,-29.50011111,0.082572,0.082479,4
68041,g1338500-293946,204.7086667,-29.66283333,0.040479,0.04039,4
68042,g1344094-280125,206.039375,-28.02363889,0.018041,0.017953,4
68043,g1346278-273428,206.6159167,-27.57447222,0.039989,0.039899,4
68044,g1336023-290902,204.00975,-29.15038889,0.052024,0.051933,4
68045,g1344301-281640,206.12525,-28.27788889,0.037969,0.03788,4
68046,g1335038-291952,203.7657917,-29.33122222,0.054654,0.054563,4
68047,g1347402-281817,206.9173333,-28.30461111,0.042506,0.042416,4
68048,g1335480-280642,203.9499583,-28.11161111,0.041058,0.040968,4
68050,g1346477-283859,206.698875,-28.64947222,0.03753,0.03744,4
68051,g1348243-290051,207.101375,-29.01416667,0.050429,0.050339,4
68052,g1344203-290743,206.0845,-29.12866667,0.02966,0.029572,4
68053,g1345222-285626,206.3425833,-28.94063889,0.023131,0.023043,4
68054,g1341438-292000,205.4325833,-29.33336111,0.020538,0.02045,4
68055,g1334166-291233,203.5690417,-29.20922222,0.054937,0.054846,4
68056,g1346544-294507,206.7267083,-29.75191667,0.054366,0.054275,4
68057,g1343171-293926,205.8214167,-29.65708333,0.019078,0.01899,4
68058,g1345409-295339,206.4204583,-29.89408333,0.020192,0.020104,4
68059,g1343451-295221,205.9377083,-29.87244444,0.083783,0.083689,4
68060,g1339487-294306,204.9529167,-29.71838889,0.082283,0.082189,4
68061,g1331190-292055,202.829,-29.34852778,0.053164,0.053073,4
68062,g1343172-295318,205.82175,-29.88822222,0.077367,0.077274,4
68064,g1342331-300757,205.638,-30.1325,0.048639,0.048549,4
68065,g1342414-302112,205.6722917,-30.35327778,0.04836,0.048269,4
68066,g1337021-292914,204.2586667,-29.48733333,0.014961,0.014874,4
68067,g1340167-302450,205.06975,-30.41394444,0.049679,0.049589,4
68070,g1338518-304219,204.71575,-30.70530556,0.076457,0.076364,4
68071,g1339012-305815,204.754875,-30.97077778,0.014203,0.014115,4
68072,g1337488-304124,204.4531667,-30.68997222,0.050869,0.050778,4
68074,g1336347-263314,204.1447083,-26.55391667,0.022275,0.022333,3
68075,g1334478-270738,203.6992083,-27.12711111,0.034753,0.034812,4
68076,g1333413-271139,203.422125,-27.19433333,0.041342,0.041402,4
68077,g1332383-271011,203.159375,-27.16963889,0.039915,0.039975,4
68079,g1335312-260239,203.8801667,-26.04433333,0.039816,0.039875,4
68080,g1331207-270628,202.8360833,-27.10775,0.043505,0.043564,4
68081,g1331574-264707,202.9893333,-26.78538889,0.132363,0.132428,4
68082,g1330419-265916,202.6745417,-26.98780556,0.043844,0.043904,4
68083,g1335279-252125,203.8660417,-25.35686111,0.015918,0.015976,4
68084,g1336550-244018,204.2292083,-24.67166667,0.015978,0.016036,4
68085,g1328074-270114,202.0308333,-27.02061111,0.036214,0.036273,4
68086,g1329208-264022,202.3367917,-26.67263889,0.05011,0.05017,4
68087,g1330361-261522,202.6504167,-26.25605556,0.014777,0.014835,4
68088,g1330473-260432,202.6969583,-26.0755,0.026386,0.026444,4
68089,g1329363-255903,202.4014583,-25.98413889,0.063088,0.063149,4
68090,g1328193-260641,202.0804583,-26.11127778,0.048953,0.049013,4
